	Coefficient
altitude	1.27170805802616
pluvio_yr	-1.55458750324396
pluvio_1	-0.927105638554693
pluvio_2	-2.03438559967058
pluvio_3	0.676462468348245
pluvio_4	-1.01621859242286
pluvio_5	-0.480496221277709
pluvio_6	1.30650316133638
pluvio_7	0.681384171395883
pluvio_8	4.11774124297488
pluvio_9	-1.52473984195329
pluvio_10	-1.43780347823002
pluvio_11	2.0356103837672
pluvio_12	-0.289219836165856
lon	-2.18643712132345
lat	0.733265752207986
evi_1	-0.874632592230781
evi_2	1.88714122815796
evi_3	-0.153704291468411
evi_4	-1.36120875933254
evi_5	-0.867402068117705
evi_6	1.05464223675893
evi_7	-0.383944192197918
evi_8	0.601581372070802
evi_9	0.973852713848035
evi_10	0.459392022724081
evi_11	0.271315543979247
evi_12	-0.657969115713793
evi_13	1.26842670016321
evi_14	-1.87420810159167
evi_15	0.0994796905309931
evi_16	-1.4730119931933
evi_17	-1.05529989484452
evi_18	0.391702829198524
evi_19	0.452773967690246
evi_20	-0.662521421673517
evi_21	0.289199269976768
evi_22	-0.612737314278485
evi_23	0.173001244991964
geology.1	1.31476660666813
geology.2	-0.287581891682832
geology.3	1.3152312675711
geology.5	0.237287861582272
geology.6	-2.57970384413833
altitude_geology.1	0.130620761286825
altitude_geology.2	1.85376210151646
altitude_geology.3	0.67830063135775
altitude_geology.5	2.45580002017651
altitude_geology.6	-3.84677545631086
pluvio_yr_geology.1	-1.02893923013067
pluvio_yr_geology.2	-0.18845429300874
pluvio_yr_geology.3	-1.98700092139485
pluvio_yr_geology.5	-1.64199654813011
pluvio_yr_geology.6	3.29180348942097
pluvio_1_geology.1	2.56451527045792
pluvio_1_geology.2	1.5751885474458
pluvio_1_geology.3	3.40709582014455
pluvio_1_geology.5	0.979725385893566
pluvio_1_geology.6	-9.45363066249793
pluvio_2_geology.1	0.428694841615823
pluvio_2_geology.2	-1.67366540865496
pluvio_2_geology.3	-3.58092687906574
pluvio_2_geology.5	1.47400305444278
pluvio_2_geology.6	1.31750879199153
pluvio_3_geology.1	-2.80806165465466
pluvio_3_geology.2	0.794186414812518
pluvio_3_geology.3	2.34667894438305
pluvio_3_geology.5	-2.91096339303723
pluvio_3_geology.6	3.25462215684443
pluvio_4_geology.1	4.34040876447402
pluvio_4_geology.2	-3.63019049870403
pluvio_4_geology.3	4.39199875768835
pluvio_4_geology.5	-0.905955489617255
pluvio_4_geology.6	-5.21248012626385
pluvio_5_geology.1	-4.53398107961552
pluvio_5_geology.2	5.90506762070098
pluvio_5_geology.3	1.69919386732301
pluvio_5_geology.5	2.09708110691281
pluvio_5_geology.6	-5.64785773659943
pluvio_6_geology.1	0.0745080509447755
pluvio_6_geology.2	2.29040885458191
pluvio_6_geology.3	1.94320170736488
pluvio_6_geology.5	-4.74431086956154
pluvio_6_geology.6	1.74269541800414
pluvio_7_geology.1	1.4047373569954
pluvio_7_geology.2	4.96974065018485
pluvio_7_geology.3	1.09498920491428
pluvio_7_geology.5	-1.6506450362628
pluvio_7_geology.6	-5.13743800443686
pluvio_8_geology.1	-0.249829553087747
pluvio_8_geology.2	1.52461186257249
pluvio_8_geology.3	-0.0869441893919494
pluvio_8_geology.5	6.60831291550645
pluvio_8_geology.6	-3.67840979262453
pluvio_9_geology.1	0.796397215778675
pluvio_9_geology.2	-0.706809120154108
pluvio_9_geology.3	-2.87350198499367
pluvio_9_geology.5	2.11783293302492
pluvio_9_geology.6	-0.858658885608508
pluvio_10_geology.1	-0.00441085592660348
pluvio_10_geology.2	-0.328852044766821
pluvio_10_geology.3	-1.33676879667278
pluvio_10_geology.5	2.25069556573499
pluvio_10_geology.6	-2.01846734659882
pluvio_11_geology.1	-2.84228429528661
pluvio_11_geology.2	0.523834251935084
pluvio_11_geology.3	2.75577833349663
pluvio_11_geology.5	0.334802858452343
pluvio_11_geology.6	1.26347923517114
pluvio_12_geology.1	0.728396811309543
pluvio_12_geology.2	-1.22479921748131
pluvio_12_geology.3	0.105203976160736
pluvio_12_geology.5	1.73347791446846
pluvio_12_geology.6	-1.63149932062172
lon_geology.1	-3.66077964952254
lon_geology.2	-1.75459550005264
lon_geology.3	-0.683662722842503
lon_geology.5	8.29877831212659
lon_geology.6	-4.38617756103216
lat_geology.1	-0.4638904114215
lat_geology.2	1.45830299172495
lat_geology.3	0.812520446754016
lat_geology.5	-2.64390538820835
lat_geology.6	1.57023811335904
